会社名,代表者,ホームページ,メールアドレス,電話番号,資本金,売上高,連絡先
株式会社ジョイフル本田,代表取締役社長　矢口　幸夫,http://www.joyfulhonda.com,jh.saiyou@joyfulhonda.co.jp,029-822-2215,120億円,1587億37百万円　＊2016年6月期（連結）,"　株式会社ジョイフル本田━━━━━━━━━━━━━━━━━━━━━━━━　〒300-0813 茨城県土浦市富士崎1-16-2　総務部 採用担当　TEL : 029-822-2215 / フリーダイヤル : 0120-22-3006　E-mail : jh.saiyou@joyfulhonda.co.jp　交通機関 / JR常磐線「土浦駅」より徒歩10分　URL / http://www.joyfulhonda.com"
長野朝日放送株式会社,代表取締役社長　土屋英樹,http://www.abn-tv.co.jp,,026-223-1000,25億円,53億4400万円(2015年3月期実績）,〒380-8550長野市栗田989-1TEL:026-223-1000(代表)URL:http://www.abn-tv.co.jp
ミニストップ株式会社,代表取締役社長　藤本　明裕,http://www.ministop.co.jp,nyuusya@ministop.co.jp,0120-32-2432,74億9153万3000円,3363億円／加盟店売上高含む※2016年2月期（単体決算）,"ミニストップ株式会社　人事部　人材育成チーム〒261-8540　千葉県千葉市美浜区中瀬1-5-1　イオンタワー6階ＴＥＬ：0120-32-2432　または043-212-6626　■メールアドレス ： nyuusya@ministop.co.jp■ホームページ ： http://www.ministop.co.jp/"
"テレビ大阪 株式会社",代表取締役社長　青山高博,http://www.tv-osaka.co.jp,,06-6947-7777,10億円,"13208百万円 (2014年3月期)","テレビ大阪(TVO)〒540-8519 大阪市中央区大手前1-2-18　　総務局　人事部TEL 06-6947-7777（代）FAX 06-6946-9796（総務局）ＨＰ　http://www.tv-osaka.co.jp/qzin/saiyo2015"
富山データー機器サービス株式会社,"代表取締役　桑山 知子",,,076-435-5667,1000万円,1億1000万円（2015年9月）,"富山データー機器サービス株式会社代表取締役　桑山 知子〒930-2226富山県富山市八町5542TEL：076-435-5667"
mic21株式会社,代表取締役　平山　衛耀,,recruit@mic21.com,045-227-6670,2億80万円,31億円（2016年2月実績）30億円（2015年2月実績）30億円（2014年2月実績）,"mic21株式会社神奈川県横浜市中区万代町2-4-1採用担当：管理本部　総務課　TEL: 045-227-6670　※受付時間: 9:30-19:00（土曜、日曜、祝日も受付中です)E-mail:recruit@mic21.com"
株式会社リクルート北海道じゃらん,"代表取締役社長　内海 裕晃（うつみ　ひろあき）●略歴2007年7月：(株)リクルート（現・（株）リクルートホールディングス）入社2008年1月：事業開発領域　グループマネージャーに就任2011年10月：飲食事業「ホットペッパー」首都圏法人担当　グループマネージャーに就任2013年10月：(株)ゆこゆこ　経営企画室長に就任2016年4月：(株)リクルート北海道じゃらん　代表取締役社長に就任",,,011-219-2511,3000万円,"決算期 売上高 ---------------------------- 2013年度3月　 　19億5800万円2014年度3月　　 20億4600万円2015年度3月　　 22億2180万円","株式会社 リクルート北海道じゃらん〒060-8642札幌市中央区北4条西5丁目1　アスティ45　14階TEL:011-219-2511採用担当　西村　saiyou@hokkaido-jalan.co.jp"
株式会社リクルートジョブズ,"代表取締役社長　柳川 昌紀",http://www.recruitjobs.co.jp,recruitjobs_freshers@r.recruit.co.jp,,1億5000万円　※株式会社リクルートホールディングス100％出資,,"株式会社リクルートジョブズ 〒104-8227　東京都中央区銀座7-3-5　ヒューリック銀座７丁目ビル （旧リクルートＧＩＮＺＡ７ビル） 人事部　新卒採用グループ　担当 【採用お問合せメールアドレス】 recruitjobs_freshers@r.recruit.co.jp ※選考結果の理由についてはお伝えしかねますので何卒ご了承ください。 【採用ホームページ】 今後の採用活動につきましては、弊社採用ＨＰをご確認ください。 http://www.recruitjobs.co.jp/recruit/fresh/"
福島スバル自動車株式会社,代表取締役社長　内田　良一,http://www.fukushima-subaru.co.jp,saiyo@fukushima-suabru.co.jp,024-945-1341,5000万円,100億円,福島スバル自動車株式会社営業支援課　採用チーム：若林・日向（ひなた）・渡辺【住所】〒963-0115　福島県郡山市南一丁目70【TEL】024-945-1341【FAX】024-945-9322【E-mail】saiyo@fukushima-suabru.co.jp【URL】http://www.fukushima-subaru.co.jp/　　　　http://www.subaru.jp/saiyo/44_subaru/09.html　（採用ページ）
株式会社　エム・エス経営企画,代表取締役　青野　章,,horibe.sanyo3417@gmail.com,086-214-3417,5000万円,50億円（2015年10月実績）,株式会社エム・エス経営企画　サンヨー薬局グループ〒700-0013　　岡山県岡山市北区伊福町2丁目30-3担当者　堀部TEL：086-214-3417Email：horibe.sanyo3417@gmail.com
株式会社ザグザグ,"代表取締役　森 信",http://www.facebook.com,z-jinji@zagzag.co.jp,080-3212-5954,1億円（平成28年8月現在）,615億円（平成28年8月実績）,"株式会社ザグザグ〒703-8243 岡山市中区清水369-2採用担当西原・引地・石田・廣岡E-mail:z-jinji@zagzag.co.jp080-3212-5954（採用担当 直通）電話受付時間 平日10：00～18：00★facebookページ「ちょっと気になるドラッグストアザグザグ」http://www.facebook.com/chottokininaru.zagzag も宜しくお願いします★"
西濃印刷株式会社,代表取締役社長　河野俊一郎,,,058-263-4101,1350万円,9億5000万円（2016年3月実績）,"〒500-8074　岐阜県岐阜市七軒町15番地 058-263-4101（代）担当：河野、北瀬"
株式会社産案,代表取締役社長／酒井久和,,,,7000万円（グループ合計）,"44億1200万円　（2016年3月実績・グループ総売上） 38億4200万円　（2015年3月実績・グループ総売上） 35億6800万円　（2014年3月実績・グループ総売上） 31億4845万円　（2013年3月実績・グループ総売上） 26億8540万円　（2012年3月実績・グループ総売上）",東京都中央区日本橋蛎殻町1-16-8　水天宮平和ビル3F（総合受付）
有限会社小林生花店,代表　小林　貴明※39歳の若き3代目社長です。,http://www.k-flower.co.jp,,0266-28-1188,1000万円,2億2000万円（2015年7月期）,〒393-0041長野県諏訪郡下諏訪町西四王4997-7フラワービル1Ｆ　採用担当　内藤TEL:0266-28-1188URL:http://www.k-flower.co.jp/
株式会社　鈴木薬局,代表取締役社長　鈴木達弥,http://www.suzukiyakkyoku.co.jp,jinji2@suzukiyakkyoku.co.jp,048-773-4553,7000万円,,"(株)鈴木薬局　人財開発室採用担当:笹木 泉362-0036埼玉県上尾市宮本町9-8　村田ビル3階（JR高崎線「上尾」駅東口　徒歩3分）TEL：048-773-4553（080-3122-1994）FAX：048-795-9904E-mail：jinji2@suzukiyakkyoku.co.jpHP：http://www.suzukiyakkyoku.co.jp/"
株式会社マイクロアド,"代表取締役　　渡辺 健太郎",http://www.microad.co.jp,saiyo-team@microad.co.jp,03-6362-5397,464716800円,112億円（2016年9月実績）92億円（2015年9月期実績）86億円（2014年9月期実績）68.5億円（2013年9月期実績）44億円（2012年9月期実績）23億円（2011年9月期実績）16億円（2010年9月期実績）15億円（2009年9月期実績）,"株式会社マイクロアド　新卒採用担当tel／03-6362-5397mail／saiyo-team@microad.co.jp〒150-0045 東京都渋谷区神泉町8-16　渋谷ファーストプレイスビル5F会社HP／http://www.microad.co.jp/"
東京書籍株式会社,代表取締役社長　千石雅仁,,,17-103-5390,8000万円,290億円（2015年）,〒114-8524　東京都北区堀船2-17-103-5390-7210／人事部jinji@tokyo-shoseki.co.jp
株式会社テレコムスクエア,代表取締役CEO　吉竹　雄次,,,03-3239-3269,50000千円,51億8900万円（2015年12月実績　※海外拠点を除く）,株式会社テレコムスクエア東京都千代田区五番町6-2　ホーマットホライゾンビル3FTel:03-3239-3269
株式会社マコセエージェンシー,"代表取締役　五十嵐 芳明",,,099-254-2946,10000000円,,"〒890-0052鹿児島市上之園町25-33　macose PARKSビルTEL:099-254-2946 （総務部直通）"
株式会社スタッフアルファコミュニケーション,"代表取締役　　松山 洋介",,,03-5674-7837,1400万円（平成27年3月）,6億6000万円（2016年3月期実績）,〒134-0088東京都江戸川区西葛西6-9-12　西葛西トーセイビル4ＦTEL：03-5674-7837／採用担当
株式会社池田,代表取締役　吉村　俊哉,,,088-622-8410,1200万円,50億円(2016年7月期グループ売上),〒770-0904徳島県徳島市新町橋1-11株式会社池田　採用担当　細谷（ほそたに）TEL：088-622-8410
株式会社アイ・コーポレーション,代表取締役会長　小林靖治代表取締役社長　倉繁朱,http://www.aicorpo.com/　　　　　　↑　[会長・社長・社員…総出で熱～く語ってます],y.ikeda@aicorpo.com,03-5818-5820,1000万円,63億6700万円（2017年7月実績）,"〒110-0015東京都台東区上野6-16-20　松村ビル6Ｆ交通／上野駅徒歩2分・御徒町駅徒歩4分・上野御徒町駅徒歩3分ＴＥＬ■03-5818-5820　　　　　 0120-42-1192担当■人事／池田　有花(Ｅ-mail：y.ikeda@aicorpo.com)【ＨＰ…http://www.aicorpo.com/】【ブログ…http://aicorpo.exblog.jp/】※ご質問等ありましたら、お気軽にお電話＆メール下さい。"
株式会社遠鉄百貨店,取締役社長　中村　昭,http://www.endepa.com,,,4億8000万円,352億円（平成28年度）,〒430-0927　静岡県浜松市中区旭町12-1総務部人材開発課/藤岩ＴＥＬ　053（457）5210ＵＲＬ　http://www.endepa.com
NECフィールディング株式会社,代表取締役　執行役員社長　中江　靖之,http://www.fielding.co.jp,recruit@star.fielding.nec.co.jp,03-3454-3446,96億7010万円,単体：1699億81百万円(2016年度実績)連結：1741億95百万円(2016年度実績),"〒108-0073　東京都港区三田一丁目４番２８号　三田国際ビルＮＥＣフィールディング　人事部　採用担当採用直通TEL　 03-3454-3446採用ＨＰ　　　　　http://www.fielding.co.jp/job/Ｅメール　　　　　recruit@star.fielding.nec.co.jp"
株式会社アド・ダイセン,,http://www.ad-daisen.co.jp,recruit@ad-daisen.co.jp,03-5425-2212,,,"【人事総務部　採用担当】　E-mail ： recruit@ad-daisen.co.jp　URL ： http://www.ad-daisen.co.jp/　　リクルートHP　：http://www.ad-daisen.co.jp/recruit/fresh/index.html≪東京≫　　担当：平井・武市〒105-0013東京都港区浜松町1丁目29-6　　浜松町セントラルビル4階 TEL：03-5425-2212≪大阪≫　　担当：村中・堤〒550-0011大阪市西区阿波座1丁目3-15　　JEI西本町ビル7階TEL：06-6534-2212≪名古屋≫　　担当：藤田〒461-0004愛知県名古屋市東区葵3丁目14-12　　ＨＧビル4階TEL：052-934-2212≪福岡≫　　担当：石橋〒810-0001福岡県福岡市中央区天神4丁目8-25　　ニッコービル5階TEL：092-739-4301"
株式会社いそかわ,"代表取締役社長　安東 和彦",http://isokawa.ik-isokawa.co.jp,saiyou@ik-isokawa.co.jp,0742-53-1131,9950万円　※株式会社マルヤス100％出資,144億円（2016年2月期）,株式会社いそかわ〒631-0011　奈良県奈良市押熊町871番地の1TEL:0742-53-1131E-mail:saiyou@ik-isokawa.co.jp交通:近鉄「西大寺駅」北改札より「押熊」行きバス終点「押熊」バス停下車、東へ徒歩約10分URL:http://isokawa.ik-isokawa.co.jp
株式会社ダイエー,近澤　靖英,,,,686億円,,"東京都江東区東陽２丁目２番２０号　０１２０-０１０-７５５ 採用担当あて"
ダイハツ広島販売株式会社,代表取締役社長　大石　弘之,,t_kondo@hrsm.daihatsu-dlr.co.jp,082-554-5234,8000万円,265億600万円（2016年3月期）,ダイハツ広島販売株式会社〒733-0034広島市西区南観音町22-13　採用担当　組織人事室　近藤TEL:082-554-5234E-mail:t_kondo@hrsm.daihatsu-dlr.co.jp
安井家具株式会社,代表取締役社長　安井　隆豊,http://www.yasuikagu.co.jp,39soumu@yasuikagu.co.jp,052-232-0001,2億円,100億円（2016年6月実績）,安井家具株式会社総務教育部　、採用チーム電話：052-232-0001E-mail：39soumu@yasuikagu.co.jpＨＰ：http://www.yasuikagu.co.jp
株式会社ホームケアセンターイワサキ,代表取締役　岩崎　悟,http://www.hcc-iwasaki.co.jp,,042-492-3522,1000万円,"4億3882万円 （2016年9月期）",株式会社ホームケアセンターイワサキ〒204-0003東京都清瀬市中里3-1118-1採用担当TEL：042-492-3522
株式会社169,"代表取締役　 小藤浩一",,169ch@169.co.jp,03-5795-0169,3000万円,,株式会社169〒150-0013東京都渋谷区恵比寿3-3-3RABANKA３　5階採用担当TEL：03-5795-0169Email：169ch@169.co.jp
株式会社神戸新聞社,代表取締役社長　高士　薫,http://www.kobe-np.co.jp,,078-362-7020,6億円,259億円(2013年11月),神戸新聞社企画総務局人事総務室・採用係　〒650-8571　神戸市中央区東川崎町1-5-7　TEL:078-362-7020ＨＰ　→http://www.kobe-np.co.jp/E-mail→d-saiyou2018@kobe-np.co.jp
北海道スバル株式会社,代表取締役　竹中　智雄,http://www.hokkaido-subaru-recruit.com,,011-668-2112,9800万円,181億4683万円（2015年3月期実績）,"北海道スバル株式会社〒063-0062札幌市西区西町南14-1-1採用担当：総務部人事総務課平野／松田TEL: 011-668-2112【ホームページ】http://www.hokkaido-subaru-recruit.com/【本社アクセス】札幌市営地下鉄東西線「発寒南駅」1番出口より徒歩10分"
株式会社ホンダ,"代表取締役　本田 雄一郎",http://www.seneso.jp,,0277-46-1131,1000万円,20億5146万円（2015年7月期）,＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝≪　株式会社ホンダ　≫〒376-0023　群馬県桐生市錦町2-10-34TEL：0277-46-1131<HP>http://www.seneso.jp/index.html＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
株式会社丸山海苔店,丸山慶太,http://www.maruyamanori.com,,03-3541-0265,1000万円,18.5億円（2016年5月）18.5億円（2015年5月）18.5億円（2014年5月）17.0億円（2013年5月）,本社所在地：東京都中央区明石町1-23電話番号：03-3541-0265採用担当：横山ホームページ：http://www.maruyamanori.com
株式会社　アドニス,代表取締役社長　三角英夫,,,06-6376-3232,1000万円,8億7272万円（2017年3月期実績）,"株式会社　アドニス 〒531-0071　大阪市北区中津1-17-26 中津グランドビルTEL：06-6376-3232（代）　採用・教育チーム"
株式会社マルキョウ,"代表取締役社長兼COO富松 俊一",http://www.marukyo-web.co.jp,,092-501-8448,59億9620万円,842億4200万円（2016年9月期）844億1700万円（2015年9月期）,■――――――――――――――――――――――――■　　株式会社マルキョウ　　〒816-8567　　福岡県大野城市山田5-3-1　　人事部採用課　担当／永松、福岡　　TEL／092-501-8448　　ホームページ　http://www.marukyo-web.co.jp■――――――――――――――――――――――――■
株式会社エスピー・リング東京,代表取締役　太田眞義,,,03-5543-2217,2000万円,23億円（2017年3月期）,【連絡先】株式会社エスピー・リング東京〒104-0042　東京都中央区入船1-3-9　長崎ビル6ＦＴＥＬ：03-5543-2217　（担当：マツダ）■本社交通東京メトロ日比谷線・ＪＲ京葉線「八丁堀駅」Ａ2出口より徒歩2分東京メトロ有楽町線「新富町駅」7番出口より徒歩4分
株式会社長崎新聞社,代表取締役社長　才木　邦夫,,,095-844-2112,3億5000万円,58億2400万円（平成27年9月末実績）,"〒852-8601長崎県長崎市茂里町3-1TEL：095-844-2112 FAX：095-844-2101採用担当/坂本"
株式会社東急ストア,代表取締役社長　須田　清,http://www.tokyu-store.co.jp,,03-3714-2462,1億円（2016年2月現在）,2000億88百万円（平成27年度）,東京都目黒区上目黒1丁目21番12号　〒153-8577経営統括室　人材戦略　電話　03-3714-2462交通機関▼東急東横線中目黒駅徒歩３分ホームページ　http://www.tokyu-store.co.jp/
株式会社朝日オリコミ名古屋,"代表取締役社長　片岡 直樹",http://www.asahi-o.co.jp,,052-221-7711,1500万円,228億円(2015年度),"〒460-0008 名古屋市中区栄1-3-3　朝日会館7階（本社）株式会社 朝日オリコミ名古屋　管理部ＴＥＬ　052-221-7711(代表)ＨＰ　http://www.asahi-o.co.jp/"
株式会社育薬,代表取締役　坪井義之,,,052-483-1989,1000万円,"9億7000万円 (平成24年度実績)","株式会社 育薬担当：岡部〒453-0832　愛知県名古屋市中村区乾出町2-24　乾ビル2階電話：052-483-1989"
デジタルゲイト株式会社,"代表取締役社長／長尾 慎太郎",,,092-731-6101,5000万円,"8億1386万円　 経常利益／1億5844万円　（2016年3月実績）6億2739万円　 経常利益／1億　575万円　（2015年3月実績）5億7736万円　 経常利益／1億　545万円　（2014年3月実績） 3億7400万円　 経常利益／　　4300万円　（2013年3月実績） 4億　700万円　 経常利益／　　2020万円　（2012年3月実績）","＜デジタルゲイト株式会社＞〒810-0001福岡市中央区天神4-6-7　天神クリスタルビル6Ｆ 管理本部／平田（ヒラタ） TEL／092-731-6101URL／http://digitalgate.netE-mail／kyujin@digitalgate.net■アクセス…地下鉄1号線[東-1b]番出口より中央郵便局を左手に直進。中央郵便局を左折し、竹堂パーキングエリア隣"
株式会社リクルーティング・デザイン,代表取締役　天野　智紹,http://www.rd-woods.co.jp,saiyou1@rd-woods.co.jp,052-587-2311,1000万円,,株式会社　リクルーティング・デザイン〒450-0002　名古屋市中村区名駅3-25-3　大橋ビルディング9F052-587-2311　担当／西野ホームページ　http://www.rd-woods.co.jpメール　saiyou1@rd-woods.co.jp
株式会社横浜ファーマシー,代表取締役　浅野　雅晴,,,0172-55-6089,8億1960万円,212億円（平成28年2月期）更なる成長を目指しています。,株式会社横浜ファーマシー　（スーパードラッグ　アサヒ）　採用担当：管理部　人事管理グループ　〒036-8085　青森県弘前市末広2丁目2-10　TEL:0172-55-6089
株式会社板垣,"代表取締役社長 板垣雅直",http://www.megane-itagaki.co.jp,jinji-i@megane-itagaki.co.jp,0270-24-1746,5000万円,25億2000万円（2015年9月期）,"〒372-0047群馬県伊勢崎市本町4-26 板垣本社ビル2F管理本部　人事部人事課／柳澤TEL:0270-24-1746FAX:0270-24-1805URL http://www.megane-itagaki.co.jp/E-MAIL jinji-i@megane-itagaki.co.jp"
株式会社熊日広告社,"代表取締役社長　堀川 孝文",,,096-361-3082,5000万円,"82億円 ※2016（平成28）年3月期","熊本日日新聞社　人事部 〒860-8506 　 熊本県熊本市中央区世安町172 TEL:096-361-3082　"
アポロメディカルホールディングス株式会社,代表取締役会長兼社長　我妻　照男,http://www.islands.co.jp,saiyou@islands.co.jp,0120-35-4193,40355万円,206億円(2016年3月実績),"住所　〒170-0005　　　東京都豊島区南大塚2-45-8　ニッセイ大塚駅前ビル8階　　　アポロメディカルホールディングス株式会社　　　管理本部人事部採用課　　　　フリーダイヤル　0120-35-4193(採用専用)　　　TEL:03-5977-1189　　　　FAX:03-5977-1188URL　 http://www.islands.co.jp/E-mail　saiyou@islands.co.jp"
株式会社ムーミー　,代表取締役　村上達也,http://www.mumie.co.jp,,087-848-1258,資本金3000万円,78億円　（28年7月期）,"≪株式会社ムーミー≫〒761-0443香川県高松市川島東町520番地TEL 087-848-1258ホームページ→http://www.mumie.co.jp/採用担当　／　小川※お気軽にお問い合わせください！"
ネッツトヨタ名古屋株式会社,代表取締役社長　小栗　成男,,saiyou@ntp-g.com,052-521-4401,5000万円,283億円※2015年度実績,ネッツトヨタ名古屋株式会社　人事部〒451-0077　名古屋市西区笹塚町2-90担当：稲葉、水野電話番号：052-521-4401E-mail：saiyou@ntp-g.com
生活協同組合　コープさっぽろ,理事長　大見　英明1958年生まれ1982年入協2007年理事長就任,,,011-671-5609,"出資金：640億590万円（出資者160万人） 2016.3..現在",2678億円（2016年3月）2583億円（2015年3月）2627億円（2014年3月)2547億円（2013年3月）2546億円（2012年3月）2478億円（2011年3月）2441億円（2010年3月）,"生活協同組合　コープさっぽろ人事部/ 佐々木・太田〒063-8501　札幌市西区発寒11条5-10-1電話：011-671-5609https://www.sapporo.coop/"
株式会社メガネの和光,代表取締役社長　清水恭一,http://www.megane-no-wako.co.jp,zinzi@megane-no-wako.co.jp,052-241-1535,8000万円,33億2000万円（2017年1月期実績）,"〒460-0008名古屋市中区栄三丁目15-4 和光栄ビル5F本社統括部 人事開発課　猪口・酒井・阿原TEL　052-241-1535FAX　052-241-1364URL　http://www.megane-no-wako.co.jpE-mail　zinzi@megane-no-wako.co.jp"
ダイジョブ・グローバルリクルーティング株式会社,,,recruit@daijob.com,03-6682-5445,,,"ダイジョブ・グローバルリクルーティング　新卒採用担当東京都港区赤坂1丁目7番1号 赤坂榎坂ビル5FE-mail：recruit@daijob.comTEL：03-6682-5445"
株式会社アドバ,"代表取締役社長 　伊藤 敏明",,,0120-349-553,5000万円,,"【名古屋・大阪選考　担当窓口】名古屋本社〒460-0008愛知県名古屋市中区栄3-14-7　RICCO栄7F担当／総務部　原田・中嶋TEL 0120-349-553【東京選考　担当窓口】東京本部〒163-0511東京都新宿区西新宿1-26-2　新宿野村ビル11F担当／採用担当　寒川(さむかわ)　・　田中TEL　090-5637-6276／0120-449-554"
株式会社日東物産,代表取締役　　服部　雅企,https://super-nitto.co.jp,,089-976-5012,1000万円,52億円（2016年6月期実績）,□■株式会社日東物産　管理本部■□〒790-0924　愛媛県松山市南久米160-1採用担当／佐々木・松本TEL／089-976-5012URL／https://super-nitto.co.jp
株式会社進研アド,代表取締役社長　田村　隆憲,,,03-6372-0262,6554万円,99.0億円（2015年度）,"〒263-0414　東京都新宿区西新宿2-1-1　新宿三井ビルディングTEL 03-6372-0262 （直通／10:00～17:00）"
株式会社R4,代表取締役社長　平松洋一,http://www.r-4.co.jp,,052-212-2007,1000万円,8億7000万円（2016年3月期）7億1000万円（2015年3月期）6億7000万円（2014年3月期）,担当／板井（イタイ）、鈴木、藤井〒460-0008　名古屋市中区栄2-9-26　ポーラ名古屋ビル3ＦTel　052-212-2007　Fax　052-212-2008E-mail　info@r-4.orgホームページ　http://www.r-4.co.jp
株式会社阪急阪神百貨店,代表取締役社長　荒木　直也,,,06-6373-1331,2億円,"4307億円（2015年度通期 単体）",〒530-8350　大阪市北区角田町8-7TEL　06-6373-1331（直通）人事室　　採用担当
株式会社すずまる,"代表取締役社長　広畑 哲也",http://www.suzumaru.co.jp,,03-3469-5846,1150万円,4億3100万円(2015年6月実績),〒150-0046　東京都渋谷区松濤1-1-3　ジョワレ松涛3階株式会社すずまるマネジメント部　新卒採用担当　　川原TEL:03-3469-5846http://www.suzumaru.co.jp/
株式会社トランスワード,代表取締役　寺田正人,http://www.trw.co.jp,,078-858-6037,2000万円,17億4000万円（2016年9月実績）,"〒658-0032兵庫県神戸市東灘区向洋町中6-9 KFMビル10F株式会社トランスワード　採用担当TEL 078-858-6037（平日10：00～17：30）http://www.trw.co.jp/recruit@trw.co.jp"
株式会社くるま村,"代表取締役　隠塚 尚高",http://www.kurumamura.net/,,0942-43-5123,1千万円,30億円,"株式会社くるま村〒839-0809 福岡県久留米市東合川1丁目7番55号採用担当　鹿島（カシマ）TEL：0942-43-5123E-mail：info@kurumamura.net"
株式会社ヤマザワ,代表取締役社長　古山　利昭（ふるやま　としあき）,http://www.yamazawa.co.jp,SaiyoK@yamazawa-co.jp,0120-154-655,23億8，800万円,,"〒990-8585　山形県山形市あこや町3-8-9　株式会社ヤマザワ 人事教育部　　担当／明石・山鹿TEL:0120-154-655TEL:090-8255-5017（学生専用携帯）URL　　http://www.yamazawa.co.jp/　E-MAIL　SaiyoK@yamazawa-co.jp交通機関　■JR「山形駅」東口より　　*　徒歩 約40分　　*　タクシー 約10分（料金1,000円程度）　　*　バス 約15分、「山形県庁行き」乗車　　　→「あこや町停留所」下車 徒歩約3分　　　→「南高校前停留所」下車 徒歩約10分■高速バス（山形⇔宮城・酒田・鶴岡）　　*　「山形南高校前」もしくは「山形県庁前」下車　徒歩約10分（0.8km）"
BTV株式会社,代表取締役　江夏　拓三,,,0986-27-1700,4億8500万円,H27　36億1700万円H26　34億400万円H25　33億6000万円H24　32億8007万円,〒885-0071宮崎県都城市中町1街区7号　IT産業ビル９FBTV株式会社総務部　　柚木崎(ゆきざき)TEL:0986-27-1700
株式会社ファミリーマート,"代表取締役社長　　澤田 貴司",,,0120-966-523,83億8040万円,2996741百万円(2016年2月期:チェーン全店売上高を示す）,"〒170-6017　東京都豊島区東池袋3-1-1ファミリーマート採用事務局TEL：0120-966-523　（受付時間 平日：10時～18時）交通機関／各線池袋駅より徒歩10分　　　　 　　　地下鉄有楽町線東池袋駅より徒歩5分"
生活協同組合コープみやざき,理事長　亀田　高秀,,,0985-32-1289,,,"〒880-8530宮崎市瀬頭2-10-26TEL:0985-32-1289　または　0985-32-1234総務部　採用担当　石本 橋口E-mail:saiyo@miyazaki.coopURL:http://www.miyazaki.coop"
株式会社ウイル,小原楠緒,,,06-6446-1711,5000万円,11億8000万円　(2016年9月期),株式会社ウイル〒550-0002　大阪市西区江戸堀1-9-6　肥後橋ユニオンビル7階06-6446-1711／藤井（フジイ）
株式会社オールアバウト,"代表取締役社長　江幡 哲也",,,,11.99億円（2016年8月末現在）,77.51億円(2016年3月期、連結）,〒150-0013東京都渋谷区恵比寿1-20-8　エビススバルビル6F株式会社オールアバウト経営管理部　新卒採用担当【お問い合わせ】　job@staff.allabout.co.jp
トウメイ株式会社,"代表取締役　泉 正一",,saiyo-2018@tomei.ne.jp,0120-00-0990,1000万円,18億6000万（2016年9月）,〒535-0004　大阪府大阪市旭区生江3-12-9　　　　　　管理部採用チームフリーダイヤル：0120-00-0990TEL:06-6928-5114E-mail:saiyo-2018@tomei.ne.jp
株式会社ちゅピCOMふれあい,"代表取締役社長　山本 治朗",,saiyo@fureai-ch.co.jp,082-296-5551,15億円,34億3千万円（平成27年3月）,"株式会社ちゅピＣＯＭふれあい〒730-0854　広島市中区土橋町7-1管理部　採用担当　栗栖TEL ：082-296-5551E-MAIL：saiyo@fureai-ch.co.jp"
日本コムシス株式会社,,http://www.com,,03-3448-7059,,,"◆日本コムシス株式会社 採用担当◆〒141-8647東京都品川区東五反田2-17-1オーバルコート大崎マークウエストTEL: 03-3448-7059E-Mail: recruit@comsys.co.jpURL: http://www.comsys.co.jp/　　"
株式会社　光和,代表取締役社長　小泉　俊哉,http://www.kowanet.co.jp,ishikura@kowanet.co.jp,03-3522-2040,8500万円,58億円(平成28年12月期),所在地：東京都江東区辰巳1-5-25　〒135-0053担　　当/石倉電話番号　03-3522-2040URL　http://www.kowanet.co.jpE-mail　ishikura@kowanet.co.jp交通機関:東京メトロ有楽町線「辰巳」駅下車徒歩8分(地図は当社ホームページを参照)
株式会社SEEC,"代表取締役　阿部 隆太郎",https://se-ec.co.jp,,03-6418-7080,5000万円,22億4500万円（2016年9月実績）,"株式会社SEEC〒150-0001 東京都渋谷区東3-9-19 ポーラ恵比寿ビル 10F採用担当TEL：03-6418-7080"
株式会社ゆこゆこ,代表取締役社長　萩原　浩二,https://www.facebook.com,saiyou@yukoyuko-r.com,03-6629-7522,2億575万6000円,43億7000万円／09年3月期50億2000万円／10年3月期60億2000万円／11年3月期61億2000万円／12年3月期75億4000万円／13年3月期82億円／14年3月期76億1000万円／15年3月期79億2000万円／16年3月期,〒104-0061　東京都中央区銀座2-3-6　銀座並木通りビル8階株式会社ゆこゆこ　新卒採用担当facebook：https://www.facebook.com/yukoyuko.saiyo/TEL：03-6629-7522e-mail：saiyou@yukoyuko-r.com
鹿児島テレビ放送株式会社,代表取締役社長　荒田　静彦,,,099-258-1111,3億円,53億4900万円(平成26年度),"〒890-8666鹿児島市紫原 6-15-8KTS 鹿児島テレビ 総務部 採用試験係　担当　大重（おおしげ）TEL 099-258-1111(平日9:30～18:00)"
スターツ出版株式会社,"代表取締役社長　　菊地 修一",,,03-6202-0311,5億4千万円,40億1100万円（2015年12月期）,〒104-0031東京都中央区京橋1-3-1　八重洲口大栄ビル7Fスターツ出版株式会社　人事　採用担当03-6202-0311（代表）　saiyou@starts-pub.jp
株式会社ハヤブサドットコム,代表取締役　野田和郎,http://www.hayabusa.com,saiyo@hayabusa.com,028-659-8823,3100万円,57億8166万円（2017年5月）,━・━・━・━・━・━・━・━・━・━・━・━・━・━・━・━・━・━〒321-0106　宇都宮市上横田町853株式会社ハヤブサドットコム人事統括部　岡田・木村TEL:028-659-8823E-mail:saiyo@hayabusa.com☆会社HP　http://www.hayabusa.com/━・━・━・━・━・━・━・━・━・━・━・━・━・━・━・━・━・━
