会社名,資本金,売上高,代表者,ホームページ,メールアドレス,連絡先
三和コンピュータ株式会社,1億2000万円,68億円(2014年03月),"代表取締役社長　吉村 悟",,,"総務人事部　採用担当〒106-0047　東京都港区南麻布3－20－1 麻布グリーンテラス2F（受付）TEL:03-5421-8500FAX:03-5421-6006E-mail：recruit@sanwa-comp.co.jp【交通機関】電車：東京メトロ南北線・都営三田線　白金高輪駅　徒歩8分／東京メトロ日比谷線　広尾駅　徒歩13分バス：都バス　都06(渋谷駅前⇔新橋駅前)・品97(品川駅前⇔新宿駅西口)　 「四ノ橋」停留所前"
株式会社サンネット,6000万円,75億円(2015年3月実績),代表取締役社長　亀山　創（かめやま　はじめ）,http://www.csunnet.co.jp/,,〒730-0036広島市中区袋町4-21株式会社サンネット総務部　採用担当　佐藤・西川TEL　082-248-4100交通　市内電車・バス・アストラムライン本通下車徒歩5分HP　http://www.csunnet.co.jp/
株式会社大東システムエンジニアリング,1000万円,3億472万円（2016年6月）,代表取締役　行木　勝彦,https://www.daitoh-se.co.jp/,,株式会社大東システムエンジニアリング〒261-0023千葉市美浜区中瀬1-6　エム・ベイポイント幕張（旧NTT幕張ビル）　14階採用担当：総務部　行木（なめき）TEL：043-350-0850https://www.daitoh-se.co.jp/
日立メディカルコンピュータ株式会社,3億2500万円,84億円(2016年3月期),代表取締役社長　伊藤　義文,,,日立メディカルコンピュータ株式会社本社／〒141-0031　東京都品川区西五反田1-31-1日本生命五反田ビル8F03-3490-0751／採用担当saiyou@hitachi-mc.co.jp
株式会社ユニバーサルコムピューターシステム,5000万円,24億5800万円（2016年6月期）,代表取締役社長　荒川　義夫,http://www.ucs.jp,saiyou2018@ucs.jp,〒102-0073東京都千代田区九段北4-1-3　日本ビルディング九段別館7階管理本部　総務人事課担当者　前田・安藤・本田【TEL】03-3262-5859　【FAX】03-3262-6020【E-mail】saiyou2018@ucs.jp【HP】http://www.ucs.jp【情報発信サイト～UCSらいふ～】http://www.ucslife.jp/
株式会社　シーシーエス,5000万円,6億円（2015年度）,"代表取締役　長井 好昭",,,"【大阪本社】〒541-0059 大阪市中央区博労町1-8-2 三共堺筋本町ビル4F 株式会社シーシーエス 総務部 採用担当TEL：06-4705-7510　　FAX ：06-4705-7505"
日本システム技術株式会社,10億7666万9578円,"120億8586万円（2017年3月期）101億6074万円（2016年3月期） 96億8237万円（2015年3月期）",代表取締役社長執行役員　平林　武昭,,s.saiyo.tokyo@jast.co.jp,"■東京地区　〒108-8288　　東京都港区港南2-16-2　太陽生命品川ビル27階　　東京地区採用担当：西川、所　　TEL:03-6718-2777（人事採用直通）　　Mail:s.saiyo.tokyo@jast.co.jp■大阪地区　〒530-0005　　大阪市北区中之島二丁目３番18 号　中之島フェスティバルタワー29階　　大阪地区採用担当：上野、外山　　TEL:06-4560-1002（人事採用直通）　　Mail:s.saiyo.osaka@jast.co.jp"
ソフトウエア情報開発株式会社,7800万円,212.5億円(2017年3月期グループ計),"代表取締役社長　前澤 央",http://www.skig.co.jp,saiyo@skig.co.jp,〒107-0052　東京都港区赤坂2-5-27採用担当　／　橋本　惇フリーダイヤル　0120-37-5125(採用直通)URL　http://www.skig.co.jpMail　saiyo@skig.co.jp交通機関：　◆千代田線　赤坂駅　徒歩約2分　◆銀座線　溜池山王駅　徒歩約5分　◆丸ノ内線　赤坂見附駅　徒歩約7分
株式会社メディアミックス,5000万円,1200百万円,"代表取締役社長　川久保 俊彦",,,"株式会社メディアミックス〒141-0031東京都品川区西五反田2-11-17 HI五反田ビルTEL: 03-5740-8188（代表）FAX: 03-5740-6810"
株式会社アイティーエス,2000万円,8億3900万円（2016年12月実績）,代表取締役　松山　文鑑,,new-saiyo@its-inc.co.jp,"〒560-0083大阪府豊中市新千里西町1-2-2　住友商事千里ビル2FTel 06-6155-2000 Fax 06-6155-2011担当：人事グループ　野本・川辺E-mail : new-saiyo@its-inc.co.jp"
"株式会社シー・エス・イー（英語表記 ： CSE Co.,Ltd.）",2億5000万円,75億2千万（2016年12月実績）,代表取締役社長　小島　貴,https://www.cseltd.co.jp,jinji@cseltd.co.jp,株式会社シー・エス・イー本社人事部　採用担当〒150-0002東京都渋谷区渋谷3-3-1　A-PLACE渋谷金王【交通機関】各線「渋谷」駅より徒歩6分◆TEL：03-5469-6022◆Email：jinji@cseltd.co.jp◆URL：https://www.cseltd.co.jp/recruit/
富士通関西中部ネットテック株式会社,"2億円 (富士通株式会社 全額出資)",119億2000万円(2015年度),,http://jp,,"富士通関西中部ネットテック株式会社〒５４０－０００１大阪市中央区城見２－２－５３　大阪東京海上日動ビルディング本社 事業推進統括部　総務部　採用担当電話: 06-6949-1124http://jp.fujitsu.com/group/kcn/"
株式会社デーコム,9955万円,10億（2015年度実績）9億9000万円（2014年度実績）8億1000万円（2013年度実績）,代表取締役社長　上野恭彦,http://www.dcom,,"株式会社デーコム〒104-0061東京都中央区銀座7-16-3 日鐵木挽ビル3FTEL：03-3549-2230E-mail：saiyo@dcom-web.co.jpHP：http://www.dcom-web.co.jp/recruit/webinfo/担当：止部（シベ）"
株式会社ヒロケイ,9000万円,14億8029万円（2017年9月期）,代表取締役社長　水本　健二,,jinji@hirokei.co.jp,"〒136-0071東京都江東区亀戸2-35-13 新永ビル3Ｆ総務部採用担当TEL:03-3638-6471E-mail：jinji@hirokei.co.jp"
株式会社日立超ＬＳＩシステムズ,"3億1千万円 ［(株)日立製作所　100％出資］",99億円（2016年3月期）,"取締役社長　河路 幹規",http://www.hitachi-ul.co.jp,recruit@hitachi-ul.co.jp,"〒190-0014　東京都立川市緑町7番地1　アーバス立川高松駅前ビル株式会社 日立超ＬＳＩシステムズ　人事総務部：稲住、加藤、黒岩ＴＥＬ　:042-512-0808（ダイヤルイン）Ｅメール:recruit@hitachi-ul.co.jpＵＲＬ　:http://www.hitachi-ul.co.jp/"
株式会社ＮＥＸＣＯシステムズ,5000万円,112億円（平成27年度）,"代表取締役社長　高松 隆久",http://www.nexco-sys.co.jp/,recruit@nexco-sys.co.jp,"株式会社ＮＥＸＣＯシステムズ〒163－6025東京都新宿区西新宿六丁目8番1号 住友不動産新宿オークタワー25階総務部 人事課 採用担当TEL：03-6901-5112Email：recruit@nexco-sys.co.jp"
四国情報管理センター株式会社,4800万円,30.1億円（2016年3月）,代表取締役社長　中城一,http://www.jokan.co.jp,recruit@jokan.co.jp,"〒780-0981 高知県 高知市 一ツ橋町 1-36　採用担当(電話)088-825-3571■URL：http://www.jokan.co.jp/recruit/■E-mailアドレス：recruit@jokan.co.jp"
ＮＣＳ＆Ａ株式会社,37億7510万円,163億円（2017年3月期）,"代表取締役社長　松木 謙吾",http://ncsa.jp,,"■本社■〒540-6316大阪市中央区城見1-3-7　松下ＩＭＰビルTEL:06-6946-2014　窓口/総務人事部 人事課交通機関/ＪＲ大阪環状線・東西線「京橋」駅西出口より徒歩7分　　　　　　 ＪＲ大阪環状線「大阪城公園駅」より徒歩7分　　　　 　　京阪「京橋駅」片町口より徒歩7分　　　　 　　地下鉄長堀鶴見緑地線「大阪ビジネスパーク駅」4番出口より徒歩1分　■東京本社■〒135-0061東京都江東区豊洲5-6-36　ヒューリック豊洲プライムスクエア6階TEL:03-3531-2690　窓口/総務人事部　総務課交通機関/東京メトロ有楽町線、ゆりかもめ「豊洲駅」徒歩3分■名古屋支社■〒450-0003名古屋市中村区名駅南2-14-19　住友生命名古屋ビル13Ｆ TEL:052-581-2301　窓口/総務人事部　総務課交通機関/ＪＲ、名鉄、近鉄、地下鉄「名古屋」駅より徒歩10分≪弊社ＨＰ≫http://ncsa.jp/"
株式会社ラクス,3億7837万円,"40億7700万円（2016年3月期）34億1100万円（2015年3月期）28億 500万円（2014年3月期）",代表取締役社長　中村崇則,,newgraduate@rakus.co.jp,〒151-0051東京都渋谷区千駄ヶ谷5丁目27-11　アグリスクエア新宿2F総務人事部　新卒採用担当TEL：03-6683-3663MAIL：newgraduate@rakus.co.jp
中央コンピューター株式会社,7000万円,71億7000万円　（2016年度）,代表取締役社長　坂本　信治,"https://www.chuo-computer.co.jp/ 　中央コンピューター株式会社https://www.chuo-computer.co.jp/recruit/　リクルートサイト※リクルートサイトは、先輩からのメッセージ　盛りだくさんです！",,"中央コンピューター株式会社　　〒530-6691　大阪府大阪市北区中之島6-2-27　中之島センタービル20F　　経営改革本部人事労務部【採用担当：本木（モトキ）】　〒105-0014　東京都港区芝2丁目5番10号　芝公園NDビル2F　　東京事業本部業務統括部【採用担当：井上（イノウエ）】　電話: 0120-153-146　e-mail: saiyou@chuo-computer.co.jp"
株式会社アイ・エス・ビー,17億752万円(2017年1月現在),100億5600万円(2016年実績・単体)133億9500万円(2016年実績・連結),"代表取締役社長　若尾 逸雄",http://www.isb.co.jp,saiyo@isb.co.jp,〒141-0032東京都品川区大崎5-1-11　住友生命五反田ビル8F株式会社アイ・エス・ビー総務・人事部　採用担当（中澤・堅田）TEL:　03-3490-9881Mail:　saiyo@isb.co.jpリクルートサイトはこちら:　http://www.isb.co.jp/jinji_saiyou/
株式会社ミロク情報サービス,31億98百万円(2016年3月末現在),23636百万円(平成28年3月期実績),代表取締役社長　是枝　周樹(これえだ　ひろき),,,"〒160-0004　東京都新宿区四谷4-29-1 MJSビルミロク情報サービス　採用事務局TEL:03-4540-3608"
株式会社ブレイン,1000万円,6億円（2016年12月実績）,代表取締役社長　広兼　敬治,http://www.kk-brain.jp,,〒541-0041大阪市中央区北浜3丁目5番22号　オリックス淀屋橋ビル4階TEL:06-6203-3018担当：広兼URL:http://www.kk-brain.jp/
関西システムソリューションズ株式会社,6000万円,2億6000万円（2016年9月期）,代表取締役　作間　栄,,saiyou-kss@kansai-ssol.co.jp,"〒564-0051 大阪府吹田市豊津町2番30号　江坂ナックビル3F採用担当：佐藤TEL　　 ：06-6385-8031E-Mail　：saiyou-kss@kansai-ssol.co.jp"
株式会社エデュース,4億500万円,10億1307万円（平成25年9月期実績）,"代表取締役　松本 雄一郎",http://www.educe-ac.com,recruit@educe-ac.com,"〒101-0031　東京都千代田区東神田2丁目3番10号　ＰＭＯ秋葉原II 5階経営管理室／人事・採用担当：鈴木、佐藤TEL 03-5809-3191　　FAX 03-3866-3725Ｅ-mail recruit@educe-ac.comＵＲＬ　　http://www.educe-ac.com/"
株式会社アートテクノロジー,2億6000万円（グループ計）,56億円（平成28年7月・グループ計）,"代表取締役 光川 幹夫",,,株式会社アートテクノロジー〒916-0037福井県鯖江市上河端町第6号1番地33TEL：0778-54-8080担当：管理本部管理部　竹島
株式会社エヌワーク,3000万円※株式会社エディオン100％出資,51億700万円（2014年3月期）53億9000万円（2015年3月期）56億8000万円（2016年3月期）,代表取締役社長　清水池秀生,http://www.nwork.co.jp,recruit@nwork.co.jp,"464-0841名古屋市千種区覚王山通8-70-1池下ESビル5階管理部／板坂（晶）・大八木TEL：052-759-2611URL http://www.nwork.co.jpE-mail recruit@nwork.co.jp"
株式会社ＳＩＧ,2億9350万円,35億円（2016年3月期）,代表取締役社長　　石川　純生,,,"株式会社 S I G 　〒102-0073東京都千代田区九段北4-2-1　市ヶ谷東急ビル8F【採用受付】TEL ： 　○0120-916-363　○03-5213-4442　（受付時間 9:30～18:00）MAIL： 　○recruit2018@sig-c.co.jp【採用担当】　　人事・総務グループ　　川上翔太　/　篠原剛志"
株式会社ジャストシステム,101億4651万円,"182億4100万円 （2016年3月期）",代表取締役社長　関灘恭太郎,,rec@justsystems.com,"株式会社ジャストシステム　人事グループ　新卒採用担当〒163-6017新宿区西新宿住友不動産新宿オークタワー１８階TEL：0120-444-563E-Mail: rec@justsystems.com"
株式会社アイ・エス・アイソフトウェアー,33000000円,15億6500万円,代表取締役社長　前田　丈彰,http://recruit.isi-grp.co.jp,jinji@isi-grp.co.jp,【大阪オフィス】　担当／片山（かたやま）〒541-0053大阪府大阪市中央区本町4-6-17　IS本町ビル【東京オフィス】　〒105-0013　東京都港区浜松町1-10-11　浜松町ＯＳビル5F担当／片山（かたやま）TEL：06-6260-3131E-mail　jinji@isi-grp.co.jp　（共通）◆弊社のリクルートサイトＵＲＬ◆http://recruit.isi-grp.co.jp/index.html
アイエックス・ナレッジ株式会社,11億8089万円,175億800万円（2016年3月期）,代表取締役社長　安藤　文男,http://www.ikic.co.jp,entrance@ikic.co.jp,アイエックス・ナレッジ株式会社人事部　採用グループ〒108-0022東京都港区海岸3-22-23　MSCセンタービルTEL　0120-101-922Mail　entrance@ikic.co.jpURL　http://www.ikic.co.jp/
テクマトリックス株式会社,12億9812万円,219億9640万円（連結）※2017年3月期実績,"代表取締役社長： 由利 孝",http://recruit.techmatrix.co.jp,tmx-recruit@techmatrix.co.jp,〒108-8588東京都港区三田3-11-24　国際興業三田第2ビル（受付：9階）人事総務部　人事課　採用担当／早坂TEL：03-4405-7801Email：tmx-recruit@techmatrix.co.jp採用HP：http://recruit.techmatrix.co.jp/
株式会社ＫＩＳ,6000万円,36億5074万円（2017年3月期）,"代表取締役 高浜　辰也",http://www.kis.co.jp,saiyo@kis.co.jp,"〒861-4108熊本県熊本市南区幸田1丁目6-27TEL：096-379-2231URL:http://www.kis.co.jp/E-mail:saiyo@kis.co.jp担当：経営管理部 人事G　野間/園田/渡邊"
ナビッピドットコム株式会社,5725万円,4億8800万円／単体（2017年3月実績）,代表取締役社長　篠崎　登,http://www.navi-p.com,shop@navi-p.com,"〒104-0061　　　　　東京都中央区銀座8-12-8　ＰＭＯ銀座八丁目4F　　　　　採用担当　藤橋tel:03-6278-7981交通機関: ＪＲ／東京メトロ銀座線 新橋駅徒歩5分　都営大江戸線 汐留駅徒歩4分■弊社オフィシャルホームページ　ＵＲＬ　http://www.navi-p.com/Ｅ－ｍａｉｌ　shop@navi-p.com"
カコムス株式会社,9500万円,"26億4089万円(グループ計) ※平成28年3月期","代表取締役社長　清水 卓",http://www.kacom,,"＜東京本社＞　東京都文京区大塚 5-7-12 NKビル新大塚3F　〒112-0012＜大阪本社＞　大阪市北区堂島浜1-2-1　新ダイビル26F　〒530-0004＜採用関係お問い合せ＞　経営管理部 岩本 慧一 　TEL:0120-84-7811 　E-mail:soukan@kacoms.co.jp ホームページ:http://www.kacoms.co.jp/"
株式会社トヨタケーラム,7億円,147億円(2015年度実績),代表取締役社長　川添浩史,http://www.caelum.co.jp/,,"〒461-0001名古屋市東区泉1-23-22　トヨタホーム栄ビル　６階株式会社トヨタケーラム　採用担当TEL：052-728-6130FAX：052-951-8514URL)http://www.caelum.co.jp/mail to)saiyou@mx2.caelum.co.jp交通：地下鉄桜通線・名城線「久屋大通」駅１B出口より徒歩1分"
三井住友トラスト・システム＆サービス株式会社,1億円,257億円（2016年3月期）,"取締役社長 能勢 保巳",http://www.smtss.jp,,〒183-0044東京都府中市日鋼町1番10　三井住友信託銀行府中ビル2階三井住友トラスト・システム＆サービス株式会社　採用担当〔TEL〕042-351-2172〔E-mail〕shinsotsu@smtss.jp〔URL〕http://www.smtss.jp/【交通機関（東京本社）】京王線「府中駅」下車徒歩15分京王線・JR南武線「分倍河原駅」下車徒歩12分JR武蔵野線「北府中駅」下車徒歩10分
株式会社日立インスファーマ,2億2500万円,70億円（2016年3月期）,"代表取締役　取締役社長 山田　直明",,ip-saiyo@hitachi-inspharma.co.jp,"株式会社日立インスファーマ　〒530-0005　大阪府大阪市北区中之島二丁目3番18号 中之島フェスティバルタワー総務部　採用担当ＭＡＩＬ： ip-saiyo@hitachi-inspharma.co.jpＴＥＬ　： 06-4708-6291"
イ．ソフト株式会社,6000万円,14億,代表取締役社長　相場　邦二郎,,,"イ．ソフト株式会社〒111-0053東京都台東区浅草橋3丁目27番7号 服部ビル4F管理部 採用担当係TEL：03-5833-1192"
株式会社ファインデックス,2億4930万円,32億8802万円（2016年度）,"代表取締役　相原 輝夫",http://findex.co.jp,,"〒790-0003愛媛県松山市三番町4-9-6 NBF松山日銀前ビル11F株式会社ファインデックス　採用担当宛てＴＥＬ ： 089-947-3388ＵＲＬ ： http://findex.co.jp/　　　＊　┏━━━━━━━━━━━━━━━━━━━━━━━━━┓　　。・☆　　　　**　　　　 　★　第二新卒など、既卒・中途の方のご応募はこちらから↓ ★　・　　　　　　。☆・　　　 　　┗━━━━━━━━━━━━━━━━━━━━━━━━━┛━━━┓　　　　・　☆　　　　　 ★　http://findex.co.jp/recruit/jobs/apply.html　☆　　　＊　　　　　。・☆　 ┗━━━━━━━━━━━━━━━━━━━━━━━┛"
NRIネットコム株式会社,4億5000万円,95億円（2015年3月期）,代表取締役社長　野村　隆志,,recruit@nri-net.com,"＜お問い合わせ先＞NRIネットコム株式会社　人事部 採用担当TEL：0120-022-314Mail：recruit@nri-net.com東京本社：〒105-7114　東京都港区東新橋1-5-2 汐留シティセンター14階大阪本社：〒530-0004　大阪府大阪市北区堂島浜1-4-16 アクア堂島西館9階"
株式会社テクノプロ　テクノプロ・IT社,1億円,122億円（2016年6月期実績）,"取締役社長 浅井 功一郎",http://www.technopro.com,shinsotsu-it@technopro.com,【総合窓口】東京都港区六本木6-10-1　六本木ヒルズ森タワー35F株式会社テクノプロ　テクノプロ・IT社採用課　松田TEL：03-5410-1014Mail：shinsotsu-it@technopro.comHP：http://www.technopro.com/it【本社最寄り駅】日比谷線「六本木」駅から徒歩2分
"株式会社NTTデータ ニューソン",4億9000万円,42億円（2014年3月期）46億円（2015年3月期）52億円（2016年3月期）,"代表取締役社長　戸村 元久",,st_contact@newson.co.jp,"株式会社NTTデータ ニューソン東京都港区赤坂2-2-12 NBF赤坂山王スクエア人事部　採用担当Maiｌ：st_contact@newson.co.jpTEL：03-5545-8635（採用担当直通） FAX：03-5545-8639"
tdiグループ【情報技術開発株式会社/TDIシステムサービス株式会社/TDIプロダクトソリューション株式会社】,,,,,saiyou-group@g.tdi.co.jp,"【tdiグループ　新卒採用担当】tel ：03-3372-9761（直通）アドレス：saiyou-group@g.tdi.co.jp〒163-6013東京都新宿区西新宿六丁目8番1号　住友不動産新宿オークタワー"
株式会社テクノサイト,6000万円,"18億9550千万円　（2016年8月期 ）",代表取締役　大久保　節夫,http://www.technosite.co.jp,,本社〒427‐0022　静岡県島田市本通5丁目4番の4TEL.0547-35-2239（代表）FAX.0547-35-1456（交通機関）JR島田駅より徒歩5分ホームページ／http://www.technosite.co.jp/
ニッセイ情報テクノロジー株式会社,40億円,706.77億円（平成29年3月期）,"代表取締役社長　鬼頭 誠司",http://www.nissay-it.co.jp,nissay-it@s.axol.jp,"ニッセイ情報テクノロジー株式会社　ヒューマンリソース部　人材開発グループ【東京】〒144-8721　東京都大田区蒲田5-37-1　ニッセイアロマスクエア【大阪】〒532-0003　大阪市淀川区宮原3-4-30　ニッセイ新大阪ビルTEL：0120-634-640（受付時間　9：30～17：30　土・日・祝除く）Mail：nissay-it@s.axol.jpHP ：http://www.nissay-it.co.jp※ご不明な点がございましたら、上記メールアドレスにご連絡ください。"
システムロード株式会社,8000万円,6億5千万円（2016年3月度）※設立以来33年間、＜無借金経営＞継続中！,"代表取締役社長　長島 武",,,"〒104-0033東京都中央区新川1-3-3 グリーンオーク茅場町システムロード株式会社総務グループ　採用担当宛TEL (03)3553-9812"
株式会社セック,4億7730万円,44億円（2017年3月期）,代表取締役社長　秋山逸志,http://www.sec.co.jp/recruit/,sec.saiyo@sec.co.jp,"〒158-0097東京都世田谷区用賀4-10-1　世田谷ビジネススクエア総務人材部・採用担当TEL:03-5491-4770(代表)　平日 9:00～17:00URL: http://www.sec.co.jp/recruit/　E-mail: sec.saiyo@sec.co.jp交通機関：東急田園都市線　用賀駅"
パーソルプロセス＆テクノロジー株式会社,3億1000万円,,"代表取締役　長井 利仁",,,"新卒採用グループ〔所在地〕〒135-0061　東京都江東区豊洲3-2-20 豊洲フロント7F〔TEL〕0120-558-920 （平日9:00～18:00）"
株式会社アロートラストシステムズ,1億円,30億9400万円（平成29年3月末）,代表取締役会長兼社長　安藤晴己,https://www.arrow-trust.co.jp,contact-recruit@arrow-trust.co.jp,"株式会社アロートラストシステムズ管理部　採用担当　西本 真由美e-mail：contact-recruit@arrow-trust.co.jpお気軽に、なんでもご連絡・ご質問・ご相談ください。■大阪オフィス-----------------------------------〒550-0002大阪府大阪市西区江戸堀二丁目1番1号 江戸堀センタービル 8F管理部　採用担当TEL 06-6441-2611■東京オフィス-----------------------------------〒141-0022東京都品川区東五反田一丁目11番15号 電波ビル 4F管理部　採用担当TEL 03-5421-3391"
関電システムソリューションズ株式会社,9000万円(関西電力(株)100%出資),30724百万円（2014年度実績）,代表取締役社長：山元　康裕,http://ks-sol.jp,,〒５３０－８２２６大阪市北区梅田３丁目３番２０号明治安田生命大阪梅田ビル関電システムソリューションズ株式会社人財部人事グループ　新卒採用担当電話での受付・問合せは行っておりません。受付・問合せはメールでお願いします。(E-Mail)recruit@ks-sol.jp(URL)http://ks-sol.jp
株式会社ＯＫＩソフトウェア,4億円沖電気工業株式会社100%出資,243億円（2017年3月）,代表取締役社長　権藤　義之,https://www.oki.com,,"本社　総務部　人事チーム　採用担当　 　　 【本社】 〒335-8510　埼玉県蕨市中央1-16-8　OKIシステムセンター TEL:048-420-5223(学生専用ダイヤル）　平日8:30～12:00、13:00～17:15学生用（新卒）お問い合わせフォーム：https://www.oki.com/cgi-bin/inquiryForm.cgi?p=k114"
株式会社ＲＫＫコンピューターサービス,１億円,85億9400万円　（2011年3月期）90億9900万円　（2012年3月期)81億2700万円　（2013年3月期）84億5500万円　（2014年3月期）107億3800万円（2015年3月期）113億1000万円（2016年3月期）115億3100万円（2017年3月期）,"代表取締役社長 徳冨裕明",http://www.rkkcs.co.jp,jinji@rkkcs.co.jp,"熊本市中央区九品寺1-5-11経営管理本部　総務部 （採用担当）村崎/村上/内田TEL:096-364-5128フリーダイヤル:0120(335)594ＵＲＬ：http://www.rkkcs.co.jp/e-mail:jinji@rkkcs.co.jp"
"株式会社 エス・ケー・アイ",4900万円,212.5億円(2017年3月期グループ計),代表取締役社長　前澤　央,http://www.ns-skig.co.jp,,〒107-0052　東京都港区赤坂2-5-27採用担当　國末　実穂　フリーダイヤル　0120-29-5001(採用直通)URL　http://www.ns-skig.co.jp交通機関:地下鉄千代田線　赤坂駅　徒歩約2分
株式会社テイジイエル,1億円,61億円（2017年3月期実績）,代表取締役社長　児玉弘道,http://www.tgl.co.jp,saiyou1@tgl.co.jp,"■〒540-6315　■大阪市中央区城見1-3-7　松下IMPビル■TEL 06-6943-5671■採用担当：管理部総務人事課　赤尾（新卒採用担当）■URL http://www.tgl.co.jp/■E-mail　saiyou1@tgl.co.jp※ご質問等ございましたら、気軽にお問合わせください。"
サントリーシステムテクノロジー株式会社,2000万円,50億3900万円（2016年12月現在）,代表取締役社長　村林　泰之,,saiyo@sst-r.com,■サントリーシステムテクノロジー株式会社／採用担当【e-mail】saiyo@sst-r.com東京都江東区青海1-1-20　ダイバーシティ東京オフィスタワー7階TEL：03-6706-4236
富士フイルムメディカルITソリューションズ株式会社,1億円,48億円（2017年3月期実績）,"代表取締役社長　木島 悟",,,"〒016-0031 東京都港区西麻布4丁目12番24号 興和西麻布ビルTEL 03-6427-2360MAIL fmi-jobs.fujifilm.com経営管理本部 総務部 採用担当：井田(いだ)、梶(かじ)"
株式会社CIJ,22億70百万円(2016年6月)●2001年1月、ジャスダックに株式上場。●2002年2月、東証二部に株式上場。●2004年6月、東証一部に株式上場。,単体10417百万円、連結18704百万円(2016年6月期),代表取締役社長　大西　重之,http://www.cij.co.jp,2recruit@cij.co.jp,〒220-0023　神奈川県横浜市西区平沼1-2-24　横浜NTビル総務人事部　人事1課　採用担当【TEL】0120-086-045【E-mail】2recruit@cij.co.jp【交通】各線横浜駅より徒歩7分【本社地図】http://www.cij.co.jp/company/map/yokohama.html【HP】http://www.cij.co.jp/※ご不明な点がございましたら、上記電話番号・E-mailにお気軽にお問い合わせください。
株式会社ゼンリン,65億5764万円,549億7000万円（2016年3月期）※570億円（2017年3月期見込）,代表取締役社長　高山善司,http://www.zenrin.co.jp,jinji_s_saiyo2018@zenrin.co.jp,"〒804-0003福岡県北九州市戸畑区中原新町3-1株式会社ゼンリン人事部 人事課　新卒採用担当／小林・加藤・和田TEL ： 093-882-9051Mail ： jinji_s_saiyo2018@zenrin.co.jpURL ： http://www.zenrin.co.jp/　交通アクセス　JR鹿児島本線「九州工大前」駅より徒歩5分"
住友電工情報システム株式会社,4億8000万円,131億300万円（2015年3月期）,代表取締役社長　白井　清志,,saiyo@sei-info.co.jp,"〒532-0003大阪市淀川区宮原3-4-30　ニッセイ新大阪ビル住友電工情報システム株式会社人事総務部（採用・教育担当）／森・椴木・佐藤e-mail：saiyo@sei-info.co.jp TEL：06-6394-6755"
アズウェル株式会社,1000万円,7400万円（2015年9月期実績）1億2000万円（2016年9月期実績）,"代表取締役社長　鷹羽 浩介",,,アズウェル株式会社　AsWELL■本社…〒460-0003住所：愛知県名古屋市中区錦2-15-22　りそな名古屋ビル6階TEL：052-253-8180
株式会社サノテック,8000万円,5億6千万円（平成28年3月期）,"代表取締役社長 多田　勤",,recruit2018@sanotec.co.jp,"＜岡山事業所＞〒711-0934　岡山県倉敷市児島塩生2767-21　倉敷シーサイドホテル研修棟　3FTEL:086-475-0794/FAX:086-475-1365mail: recruit2018@sanotec.co.jp採用担当:金高"
日本電気通信システム株式会社,10億円,737億円（2015年度）,"代表取締役 執行役員社長　山口　昌信",,saiyo@mls.ncos.nec.co.jp,ＮＥＣ通信システム　採用担当〒211-8601　神奈川県川崎市中原区下沼部1753（NEC玉川事業場内）E-MAIL：saiyo@mls.ncos.nec.co.jpTEL：（050）3383-1582
